tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
81,72,28,260,263,80,74,0,0,30,87981,30911,186,214,616,1354,30,4523,1873,4470,1907,4141,4010
82,72,28,259,263,82,74,0,0,30,22741,63556,186,214,605,1364,31,3861,2102,3949,2120,4143,4010
83,70,30,258,263,84,74,0,0,28,5880,97058,184,216,593,1375,32,4123,2143,4153,2176,4143,4012
84,70,30,258,261,84,78,0,0,28,268207,88,185,215,584,1384,32,4330,2192,4288,2244,4143,4014
85,70,30,256,261,88,78,0,0,28,343133,47,183,217,569,1398,33,4481,2251,4490,2299,4143,4016
86,70,30,255,260,90,80,0,0,28,347262,51,182,218,565,1402,33,4564,2321,4593,2383,4143,4018
87,70,30,255,260,90,80,0,0,28,362945,52,181,219,557,1408,35,3927,2550,3993,2607,4144,4019
88,70,30,255,259,90,82,0,0,28,368005,44,180,220,549,1415,36,4156,2599,4207,2663,4145,4020
89,70,30,255,259,90,82,0,0,29,357725,49,178,222,544,1420,36,4362,2643,4382,2723,4145,4022
90,70,30,255,259,90,82,0,0,29,348468,46,178,222,535,1429,36,4548,2695,4482,2801,4146,4023
91,70,30,255,257,90,86,0,0,29,359566,52,179,221,526,1438,36,4575,2789,4592,2869,4147,4024
92,70,30,255,257,90,86,0,0,29,343443,39,177,223,523,1440,37,3927,3013,3941,3106,4147,4026
93,70,30,254,257,92,86,0,0,29,349613,44,173,227,521,1442,37,4179,3052,4157,3155,4147,4028
94,70,30,254,257,92,86,0,0,29,360470,50,174,226,514,1449,37,4387,3106,4309,3208,4147,4030
95,70,30,254,257,92,86,0,0,30,352801,34,177,223,510,1453,37,4582,3156,4577,3243,4148,4031
96,70,30,252,257,96,86,0,0,30,92618,34519,174,226,504,1458,38,4632,3241,4681,3311,4150,4031
97,69,31,252,257,96,86,0,0,29,23543,65892,173,227,500,1460,40,4049,3444,4066,3527,4151,4032
98,69,31,252,255,96,90,0,0,29,263662,75,175,225,493,1467,40,4313,3466,4301,3569,4152,4033
99,69,31,252,255,96,90,0,0,29,333991,43,177,223,491,1469,40,4436,3533,4471,3628,4153,4034
100,69,31,252,255,96,90,0,0,29,353742,48,180,220,490,1470,40,4603,3590,4595,3699,4155,4034
101,69,31,252,253,96,94,0,0,29,357155,44,178,222,488,1471,41,4666,3653,4746,3764,4156,4035
102,69,31,250,253,100,94,0,0,29,343061,45,179,221,486,1473,41,3949,3899,3988,4012,4156,4037
103,69,31,249,253,102,94,0,0,30,84880,33207,182,218,484,1475,41,4140,3945,4215,4060,4156,4039
104,69,31,248,253,104,94,0,0,30,19091,65671,180,220,480,1479,41,4375,3985,4400,4101,4157,4040
105,69,31,248,252,104,96,0,0,30,5357,98873,181,219,477,1482,41,4508,4050,4457,4174,4158,4041
106,69,31,248,252,104,96,0,0,30,1450,133151,180,220,474,1485,41,4591,4100,4612,4243,4159,4042
107,68,32,248,251,104,98,0,0,29,248014,97,179,221,472,1487,41,4067,4299,4046,4457,4161,4042
108,68,32,248,250,104,100,0,0,29,317326,44,178,222,469,1489,42,4275,4353,4282,4494,4162,4043
109,68,32,247,250,106,100,0,0,30,331295,47,179,221,463,1493,44,4412,4398,4478,4543,4162,4045
110,68,32,247,249,106,102,0,0,30,84077,34660,180,220,459,1497,44,4512,4447,4502,4643,4164,4045
111,66,34,247,249,106,102,0,0,28,22869,67846,181,219,454,1502,44,4659,4507,4547,4711,4165,4046
112,66,34,247,248,106,104,0,0,28,269209,89,183,217,451,1504,45,4015,4726,4035,4909,4166,4047
113,66,34,246,248,108,104,0,0,29,332460,49,183,217,449,1505,46,4256,4746,4223,4971,4168,4047
114,66,34,246,246,108,108,0,0,29,338228,46,181,219,446,1508,46,4383,4789,4367,5038,4169,4048
115,66,34,246,244,108,112,0,0,29,358843,44,179,221,444,1510,46,4552,4838,4544,5094,4170,4049
116,66,34,246,244,108,112,0,0,29,356641,48,181,219,441,1513,46,4712,4883,4598,5163,4172,4049
117,66,34,246,243,108,114,0,0,30,89363,33457,183,217,437,1516,47,4015,5118,3949,5396,4173,4050
118,66,34,246,241,108,118,0,0,30,24790,66115,178,222,437,1516,47,4286,5139,4207,5439,4173,4052
119,66,34,245,241,110,118,0,0,30,5904,99613,178,222,433,1520,47,4480,5186,4361,5488,4173,4054
120,66,34,245,240,110,120,0,0,30,1492,134505,176,224,433,1520,47,4600,5243,4515,5546,4175,4054
121,65,35,245,239,110,122,0,0,29,271820,135,175,225,430,1523,47,4664,5315,4663,5594,4175,4056
122,65,35,245,238,110,124,0,0,29,331403,41,174,226,430,1523,47,4008,5524,3989,5821,4177,4056
123,65,35,245,238,110,124,0,0,29,337405,41,174,226,430,1523,47,4263,5547,4102,5885,4179,4056
124,65,35,244,238,112,124,0,0,29,345548,43,175,225,430,1523,47,4447,5603,4307,5915,4181,4056
125,65,35,244,238,112,124,0,0,30,80356,31991,174,226,429,1524,47,4571,5655,4450,5961,4182,4057
126,65,35,243,235,114,130,0,0,30,20127,65363,174,226,429,1524,47,4615,5710,4562,6032,4184,4057
127,65,35,242,235,116,130,0,0,30,5154,98432,175,225,424,1529,47,4111,5901,4042,6230,4185,4058
128,65,35,242,235,116,130,0,0,30,1171,132415,174,226,423,1530,47,4297,5948,4259,6261,4186,4059
129,64,36,241,235,118,130,0,0,29,355,163944,174,226,422,1531,47,4441,5995,4407,6309,4188,4059
130,64,36,240,234,120,132,0,0,29,259408,110,173,227,420,1533,47,4608,6041,4579,6341,4189,4060
131,64,36,240,234,120,132,0,0,30,336283,47,174,226,418,1535,47,4690,6101,4683,6399,4189,4062
132,64,36,240,234,120,132,0,0,30,82996,34186,175,225,418,1534,48,4032,6323,3983,6615,4189,4064
133,64,36,240,232,120,136,0,0,30,20111,66512,176,224,414,1538,48,4269,6341,4265,6636,4189,4066
134,64,36,240,231,120,138,0,0,30,5049,98442,177,223,414,1538,48,4363,6396,4390,6696,4189,4068
135,63,37,240,231,120,138,0,0,29,1377,130816,179,221,413,1539,48,4538,6440,4543,6730,4190,4069
136,63,37,239,228,122,144,0,0,29,269613,101,180,220,412,1540,48,4610,6503,4713,6752,4191,4070
137,63,37,238,227,124,146,0,0,30,332921,44,181,219,412,1540,48,4040,6708,3985,6992,4193,4070
138,63,37,238,226,124,148,0,0,30,79075,31456,182,218,409,1543,48,4232,6749,4231,7013,4194,4071
139,63,37,236,226,128,148,0,0,31,20908,63165,182,218,408,1544,48,4368,6789,4419,7063,4196,4071
140,63,37,234,225,132,150,0,0,31,4998,97583,184,216,405,1547,48,4583,6823,4535,7130,4198,4071
141,61,39,234,224,132,152,0,0,29,1322,133071,183,217,405,1546,49,4594,6891,4613,7202,4199,4072
142,61,39,234,224,132,152,0,0,29,257183,113,182,218,404,1547,49,4118,7089,3899,7418,4200,4073
143,61,39,233,222,134,156,0,0,29,330331,43,184,216,404,1547,49,4304,7138,4150,7441,4201,4074
144,61,39,232,222,136,156,0,0,29,356005,50,183,217,404,1546,50,4416,7192,4337,7484,4202,4075
145,61,39,232,219,136,162,0,0,29,361463,47,182,218,403,1547,50,4627,7241,4489,7523,4203,4076
146,61,39,231,219,138,162,0,0,29,358330,49,182,218,403,1546,51,4658,7315,4609,7569,4203,4078
147,61,39,231,219,138,162,0,0,29,349975,42,184,216,403,1546,51,4071,7529,3926,7783,4204,4079
148,61,39,230,218,140,164,0,0,29,348425,46,184,216,403,1546,51,4236,7566,4229,7800,4205,4080
149,61,39,229,215,142,170,0,0,30,92577,33662,186,214,403,1546,51,4413,7603,4390,7835,4207,4080
150,61,39,229,215,142,170,0,0,30,24657,68618,188,212,403,1546,51,4580,7645,4486,7890,4208,4081
151,61,39,228,214,144,172,0,0,30,6345,102616,189,211,403,1546,51,4741,7690,4558,7944,4209,4082
152,61,39,227,214,146,172,0,0,30,1798,132671,192,208,403,1546,51,4150,7893,4071,8120,4210,4083
153,60,40,226,214,148,172,0,0,29,272504,126,191,209,403,1546,51,4321,7935,4343,8134,4212,4083
154,60,40,226,213,148,174,0,0,29,321992,57,191,209,400,1547,53,4541,7955,4491,8184,4214,4083
155,60,40,225,211,150,178,0,0,29,331864,47,191,209,398,1549,53,4615,8011,4630,8231,4215,4084
156,60,40,225,210,150,180,0,0,29,340368,55,193,207,398,1549,53,4721,8070,4714,8285,4215,4086
157,60,40,225,208,150,184,0,0,29,361229,45,194,206,398,1549,53,4114,8289,4033,8487,4216,4087
158,60,40,225,207,150,186,0,0,29,366332,44,195,205,398,1549,53,4368,8321,4386,8487,4216,4089
159,60,40,224,206,152,188,0,0,30,97788,33442,195,205,397,1550,53,4540,8364,4463,8555,4218,4089
160,60,40,223,204,154,192,0,0,30,26266,68557,194,206,397,1549,54,4669,8410,4594,8602,4218,4091
161,60,40,221,203,158,194,0,0,30,6624,100907,196,204,397,1549,54,4703,8478,4703,8653,4220,4091
